,file_id,onscc_bar_avg,onscc_bar_lag_avg,onscc_bar_lag_med,onscc_bar_lag_std,onscc_bar_std,onscc_half_avg,onscc_half_lag_avg,onscc_half_lag_med,onscc_half_lag_std,onscc_half_std,onscc_quart_avg,onscc_quart_lag_avg,onscc_quart_lag_med,onscc_quart_lag_std,onscc_quart_std
back,backbeat+5dB.mp3,0.9947499952145985,1.95047619047619,1.9504761904761905,4.440892098500626e-16,0.0025499363872525083,0.9948223993696016,1.950476190476191,1.9504761904761905,4.440892098500626e-16,0.0026684737567172784,0.8547845987173227,1.0276318390604107,0.9752380952380952,0.25089885372595244,0.12358404968643596
back,backbeat-12dB.mp3,0.9947447670357568,1.95047619047619,1.9504761904761905,4.440892098500626e-16,0.0026015778065552036,0.9948051479356043,1.950476190476191,1.9504761904761905,4.440892098500626e-16,0.0027204190286016267,0.8567210272846059,1.0272349167587265,0.9752380952380952,0.2510181323732513,0.12325371155282756
back,backbeat.mp3,0.9947285652160645,1.95047619047619,1.9504761904761905,4.440892098500626e-16,0.0025713331352211545,0.9947993488147341,1.950476190476191,1.9504761904761905,4.440892098500626e-16,0.002695472081825583,0.8543416689603757,1.0276318390604107,0.9752380952380952,0.25089885372595244,0.1239469996978415
back,backbeat_malfouf.mp3,0.9842739488397326,1.915646258503401,1.9504761904761905,0.18098163540311532,0.05506023313922095,0.9880272293912953,1.9336617405582928,1.9504761904761905,0.12694631300028322,0.05237030241624457,0.7862630094218458,1.0395395081109369,0.9752380952380952,0.435976825431518,0.16498436528977437
back,backbeat_malfouf_masmoudi+5dB.mp3,0.9719151960951942,2.6819047619047622,1.9504761904761905,1.1528504544615923,0.06806704396831295,0.9552882083675318,2.0563917730835026,1.9504761904761905,0.4493898259383866,0.07240005209977973,0.8106383162325826,1.1505887872390335,1.207437641723356,0.42212364262585944,0.14600535828734237
back,backbeat_malfouf_masmoudi-12dB.mp3,0.9718927081142154,2.6819047619047622,1.9504761904761905,1.1528504544615923,0.06809736647909241,0.955214614408058,2.0563917730835026,1.9504761904761905,0.4493898259383866,0.07230611766236189,0.8106074045444357,1.1505887872390335,1.207437641723356,0.42212364262585944,0.1457795358823086
back,backbeat_malfouf_masmoudi.mp3,0.971791752747127,2.6819047619047622,1.9504761904761905,1.1528504544615923,0.06846020492794505,0.9552449500351622,2.0563917730835026,1.9504761904761905,0.4493898259383866,0.07240117975265395,0.8105478692671348,1.1549925717413403,1.207437641723356,0.4268296538846463,0.1460116371723907
back,backbeat_masmoudi.mp3,0.9774980864354542,2.8411273080660844,1.9504761904761905,1.0466327503934418,0.053347978387090725,0.9431101299565414,2.1498475252169835,1.9504761904761905,0.5896984896645051,0.05714757556003571,0.8822917051804371,1.1260685698780937,0.9752380952380952,0.3104262304267596,0.10139723926253094
haba,habanera.mp3,0.9795065777642387,3.9473922902494345,3.947392290249433,1.3322676295501878e-15,0.008947908148764084,0.8997313554944664,1.7390945343654705,1.4396371882086167,0.9382055663332018,0.04946691813957738,0.933251531715067,0.9950842103223057,0.9752380952380952,0.34514625178074787,0.04643850932112554
malf,malfouf.mp3,0.9950004347733089,1.95047619047619,1.9504761904761905,4.440892098500626e-16,0.002845052505250718,0.9951076980294853,1.950476190476191,1.9504761904761905,4.440892098500626e-16,0.0029278863475541337,0.7146780768520812,1.0395395081109366,1.207437641723356,0.5607361688583016,0.16347850786130796
malf,malfouf_masmoudi.mp3,0.979494252375194,2.877615808228054,1.9504761904761905,0.9959077058750148,0.043250286272152,0.9460777452117518,2.1354210924135737,1.9504761904761905,0.592393771167105,0.0609757312061735,0.7808649169987646,1.1946266322621002,1.4396371882086167,0.46586149740478033,0.14835697805280332
masm,masmoudi+5dB.mp3,0.9794673430068153,3.9473922902494345,3.947392290249433,1.3322676295501878e-15,0.005567069934454715,0.8910612494781099,2.323596841035265,2.4613151927437644,0.7559852558791778,0.03434834861216082,0.9035374073900728,1.2256960676008295,1.4396371882086167,0.33128344210714444,0.0645929750546606
masm,masmoudi-12dB.mp3,0.9794626172099795,3.9473922902494345,3.947392290249433,1.3322676295501878e-15,0.005671135208099171,0.8912147242447426,2.323596841035265,2.4613151927437644,0.7559852558791778,0.03438549334291083,0.9035249413588108,1.2256960676008295,1.4396371882086167,0.33128344210714444,0.06462071743700569
masm,masmoudi.mp3,0.979494035243988,3.9473922902494345,3.947392290249433,1.3322676295501878e-15,0.005583363419506871,0.8912687990172156,2.323596841035265,2.4613151927437644,0.7559852558791778,0.03440334338169968,0.9055467416078616,1.2256960676008295,1.4396371882086167,0.33128344210714444,0.06430118338558341
